Ranks,1
TicToc timing information
name,ncalls,tottime(ns),allocbytes,gctime
tictoc__mpi_recvwait,674,3980949667,258816,0
tictoc__mpi_recvcopy,674,3001059464,112733197,319076791
tictoc__mpi_sendwait,1124,19279954,431616,0
tictoc__mpi_norm,2,139128708,772156,0
tictoc__mpi_dot,0,0,0,0
tictoc__mpi_euclidean_distance,0,0,0,0
tictoc__mpi_weightedsum,0,0,0,0
tictoc__update_aux!,224,89127104,5669888,0
tictoc__volumeviscterms!,224,5632144236,469240522,260061782
tictoc__faceviscterms!,224,5755443309,443818119,224521603
tictoc__update_aux_diffusive!,224,78328,0,0
tictoc__volumerhs!,224,9123796961,791106389,396468122
tictoc__facerhs!,224,11428916270,828137037,709326236
tictoc__update!,224,473607659,26072762,0
tictoc__writevtk_Q,0,0,0,0
tictoc__writevtk_Q_aux,0,0,0,0
tictoc__writepvtu,0,0,0,0
tictoc__setup_solver,1,45537538248,2966532450,1880943067
tictoc__solve!,1,45272886939,3388993373,1922866675
Ranks,12
TicToc timing information
name,ncalls,tottime(ns),allocbytes,gctime
tictoc__mpi_sendcopy,674,6794400161,145570159,288479241
tictoc__mpi_recvwait,674,29073228907,258816,0
tictoc__mpi_recvcopy,674,4699751382,112733053,143977895
tictoc__mpi_sendwait,1124,1039611569,431616,0
tictoc__mpi_norm,2,1955001949,772156,0
tictoc__mpi_dot,0,0,0,0
tictoc__mpi_euclidean_distance,0,0,0,0
tictoc__mpi_weightedsum,0,0,0,0
tictoc__update_aux!,224,110788520,5669888,0
tictoc__volumeviscterms!,224,14800768218,469240522,1097841718
tictoc__faceviscterms!,224,13771409932,443818119,674870874
tictoc__update_aux_diffusive!,224,60182,0,0
tictoc__volumerhs!,224,19879697063,791106389,853882604
tictoc__facerhs!,224,27192412963,828137037,2167957107
tictoc__update!,224,1273422094,26072762,0
tictoc__writevtk_Q,0,0,0,0
tictoc__writevtk_Q_aux,0,0,0,0
tictoc__writepvtu,0,0,0,0
tictoc__setup_solver,1,121470124305,2951355298,3917660248
tictoc__solve!,1,113458109045,3389011181,5915402109
