Ranks,1
TicToc timing information
name,ncalls,tottime(ns),allocbytes,gctime
tictoc__mpi_sendwait,1124,244569998,377664,0
tictoc__mpi_norm,2,689131116,772156,0
tictoc__mpi_dot,0,0,0,0
tictoc__mpi_euclidean_distance,0,0,0,0
tictoc__mpi_weightedsum,0,0,0,0
tictoc__update_aux!,224,110204774,5655552,0
tictoc__volumeviscterms!,224,7278457577,469254890,413219808
tictoc__faceviscterms!,224,8816089762,443875639,397588268
tictoc__update_aux_diffusive!,224,59311,0,0
tictoc__volumerhs!,224,14327936375,791200101,673510407
tictoc__facerhs!,224,18598270583,828123357,946391054
tictoc__update!,224,550529048,26072762,0
tictoc__writevtk_Q,0,0,0,0
tictoc__writevtk_Q_aux,0,0,0,0
tictoc__writepvtu,0,0,0,0
tictoc__setup_solver,1,78773770257,2781740672,2629980211
tictoc__solve!,1,72149035425,3388624237,3509740530
Ranks,10
TicToc timing information
name,ncalls,tottime(ns),allocbytes,gctime
tictoc__mpi_sendcopy,674,3258695866,145544719,85272584
tictoc__mpi_recvwait,674,7492436229,258816,0
tictoc__mpi_recvcopy,674,2555070754,112733309,244781789
tictoc__mpi_sendwait,1124,161970140,431616,0
tictoc__mpi_norm,2,127400263,772156,0
tictoc__mpi_dot,0,0,0,0
tictoc__mpi_euclidean_distance,0,0,0,0
tictoc__mpi_weightedsum,0,0,0,0
tictoc__update_aux!,224,85608822,5644800,0
tictoc__volumeviscterms!,224,6506689248,469244282,569901484
tictoc__faceviscterms!,224,6571748422,443861303,669938349
tictoc__update_aux_diffusive!,224,69513,0,0
tictoc__volumerhs!,224,9957318596,791189349,565764296
tictoc__facerhs!,224,12340168481,828109021,712601228
tictoc__update!,224,518318321,26072762,0
tictoc__writevtk_Q,0,0,0,0
tictoc__writevtk_Q_aux,0,0,0,0
tictoc__writepvtu,0,0,0,0
tictoc__setup_solver,1,51561298437,2760296593,2875354820
tictoc__solve!,1,51859299284,3388803149,3212740561
Ranks,12
TicToc timing information
name,ncalls,tottime(ns),allocbytes,gctime
tictoc__mpi_sendcopy,674,3138867177,145548735,35037857
tictoc__mpi_recvwait,674,7277707281,226464,0
tictoc__mpi_recvcopy,674,2804527525,119487943,310585689
tictoc__mpi_sendwait,1124,174572604,377664,0
tictoc__mpi_norm,2,32855789,772156,0
tictoc__mpi_dot,0,0,0,0
tictoc__mpi_euclidean_distance,0,0,0,0
tictoc__mpi_weightedsum,0,0,0,0
tictoc__update_aux!,224,91935668,5644800,0
tictoc__volumeviscterms!,224,7251726988,469296586,359683467
tictoc__faceviscterms!,224,6862485282,443718199,287218273
tictoc__update_aux_diffusive!,224,67067,0,0
tictoc__volumerhs!,224,11090527616,792623638,867205178
tictoc__facerhs!,224,12671078324,828120221,520197103
tictoc__update!,224,636428024,26074202,47538617
tictoc__writevtk_Q,0,0,0,0
tictoc__writevtk_Q_aux,0,0,0,0
tictoc__writepvtu,0,0,0,0
tictoc__setup_solver,1,53405528499,2742880016,1969325086
tictoc__solve!,1,55044305724,3389930542,2547160105
