Ranks,1
TicToc timing information
name,ncalls,tottime(ns),allocbytes,gctime
tictoc__mpi_sendwait,284,101721002,95424,0
tictoc__mpi_norm,2,343781608,772156,0
tictoc__mpi_dot,0,0,0,0
tictoc__mpi_euclidean_distance,0,0,0,0
tictoc__mpi_weightedsum,0,0,0,0
tictoc__update_aux!,56,31854627,1417472,0
tictoc__volumeviscterms!,56,8885792512,467382250,684965850
tictoc__faceviscterms!,56,8269872471,439879479,367554661
tictoc__update_aux_diffusive!,56,13467,0,0
tictoc__volumerhs!,56,13251175030,787499621,1152098319
tictoc__facerhs!,56,16472987483,823871837,1280835853
tictoc__update!,56,813159823,25131962,139056854
tictoc__writevtk_Q,0,0,0,0
tictoc__writevtk_Q_aux,0,0,0,0
tictoc__writepvtu,0,0,0,0
tictoc__setup_solver,1,65892090601,3668085472,3691687569
tictoc__solve!,1,62416490090,3363218013,4195499250
Ranks,10
TicToc timing information
name,ncalls,tottime(ns),allocbytes,gctime
tictoc__mpi_sendcopy,170,3309037202,142819087,0
tictoc__mpi_recvwait,170,2970056702,65280,0
tictoc__mpi_recvcopy,170,2382691315,110007533,0
tictoc__mpi_sendwait,284,26093235,109056,0
tictoc__mpi_norm,2,27209215,772156,0
tictoc__mpi_dot,0,0,0,0
tictoc__mpi_euclidean_distance,0,0,0,0
tictoc__mpi_weightedsum,0,0,0,0
tictoc__update_aux!,56,23567928,1417472,0
tictoc__volumeviscterms!,56,5840734329,467381082,179327804
tictoc__faceviscterms!,56,5742533573,439939831,160468261
tictoc__update_aux_diffusive!,56,29247,0,0
tictoc__volumerhs!,56,9649421058,787499621,630807161
tictoc__facerhs!,56,11176777037,823870669,477155440
tictoc__update!,56,447634639,25131962,0
tictoc__writevtk_Q,0,0,0,0
tictoc__writevtk_Q_aux,0,0,0,0
tictoc__writepvtu,0,0,0,0
tictoc__setup_solver,1,46278514649,3766520113,1551258082
tictoc__solve!,1,45232772208,3363336813,1757695281
Ranks,12
TicToc timing information
name,ncalls,tottime(ns),allocbytes,gctime
tictoc__mpi_sendcopy,170,5018887736,142819087,96041613
tictoc__mpi_recvwait,170,8409832152,65280,0
tictoc__mpi_recvcopy,170,3695382162,110007533,0
tictoc__mpi_sendwait,284,35342092,109056,0
tictoc__mpi_norm,2,1407278694,772156,0
tictoc__mpi_dot,0,0,0,0
tictoc__mpi_euclidean_distance,0,0,0,0
tictoc__mpi_weightedsum,0,0,0,0
tictoc__update_aux!,56,33531384,1417472,0
tictoc__volumeviscterms!,56,12145435088,467382250,399249128
tictoc__faceviscterms!,56,11759772350,439879479,375090280
tictoc__update_aux_diffusive!,56,18946,0,0
tictoc__volumerhs!,56,22669495209,787499621,501811223
tictoc__facerhs!,56,26862629002,823871837,995029993
tictoc__update!,56,841092762,25131962,0
tictoc__writevtk_Q,0,0,0,0
tictoc__writevtk_Q_aux,0,0,0,0
tictoc__writepvtu,0,0,0,0
tictoc__setup_solver,1,85907227353,3711899265,2759828041
tictoc__solve!,1,99342153064,3363278797,2840288754
